SET,MU,MU_TEST2TRAIN,R,R_TEST2TRAIN,THRESHOLD,AV_TP,SD_TP,SE_TP,NR_TP,AV_FN,SD_FN,SE_FN,NR_FN,AV_FP,SD_FP,SE_FP,NR_FP,AV_TN,SD_TN,SE_TN,NR_TN,AV_TRUE_POS,SD_TRUE_POS,SE_TRUE_POS,NR_TRUE_POS,AV_TRUE_NEG,SD_TRUE_NEG,SE_TRUE_NEG,NR_TRUE_NEG,AV_LABL_POS,SD_LABL_POS,SE_LABL_POS,NR_LABL_POS,AV_LABL_NEG,SD_LABL_NEG,SE_LABL_NEG,NR_LABL_NEG,AV_ALL,SD_ALL,SE_ALL,NR_ALL,AV_ACCURACY,SD_ACCURACY,SE_ACCURACY,NR_ACCURACY,AV_TNR,SD_TNR,SE_TNR,NR_TNR,AV_FPR,SD_FPR,SE_FPR,NR_FPR,AV_FNR,SD_FNR,SE_FNR,NR_FNR,AV_RECALL,SD_RECALL,SE_RECALL,NR_RECALL,AV_PRECISION,SD_PRECISION,SE_PRECISION,NR_PRECISION,AV_FDR,SD_FDR,SE_FDR,NR_FDR,AV_FOR,SD_FOR,SE_FOR,NR_FOR
1,1.25e-10,0.01,1e-10,0.01,0.6,0.0,0.0,0.0,100,10672.2,244.22170255732803,24.4221702557328,100,0.0,0.0,0.0,100,435421.8,804.2001243471677,80.42001243471677,100,10672.2,244.22170255732803,24.4221702557328,100,435421.8,804.2001243471677,80.42001243471677,100,0.0,0.0,0.0,100,446094.0,810.0395052094682,81.00395052094682,100,446094.0,810.0395052094682,81.00395052094682,100,0.9760764376371861,0.0005420130152827565,5.4201301528275654e-05,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,NA,NA,NA,0,NA,NA,NA,0,0.023923562362813833,0.0005420130152827627,5.420130152827627e-05,100
1,1.25e-10,0.01,1e-10,0.01,0.65,0.0,0.0,0.0,100,10672.2,244.22170255732803,24.4221702557328,100,0.0,0.0,0.0,100,435421.8,804.2001243471677,80.42001243471677,100,10672.2,244.22170255732803,24.4221702557328,100,435421.8,804.2001243471677,80.42001243471677,100,0.0,0.0,0.0,100,446094.0,810.0395052094682,81.00395052094682,100,446094.0,810.0395052094682,81.00395052094682,100,0.9760764376371861,0.0005420130152827565,5.4201301528275654e-05,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,NA,NA,NA,0,NA,NA,NA,0,0.023923562362813833,0.0005420130152827627,5.420130152827627e-05,100
1,1.25e-10,0.01,1e-10,0.01,0.7,0.0,0.0,0.0,100,10672.2,244.22170255732803,24.4221702557328,100,0.0,0.0,0.0,100,435421.8,804.2001243471677,80.42001243471677,100,10672.2,244.22170255732803,24.4221702557328,100,435421.8,804.2001243471677,80.42001243471677,100,0.0,0.0,0.0,100,446094.0,810.0395052094682,81.00395052094682,100,446094.0,810.0395052094682,81.00395052094682,100,0.9760764376371861,0.0005420130152827565,5.4201301528275654e-05,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,NA,NA,NA,0,NA,NA,NA,0,0.023923562362813833,0.0005420130152827627,5.420130152827627e-05,100
1,1.25e-10,0.01,1e-10,0.01,0.75,0.0,0.0,0.0,100,10672.2,244.22170255732803,24.4221702557328,100,0.0,0.0,0.0,100,435421.8,804.2001243471677,80.42001243471677,100,10672.2,244.22170255732803,24.4221702557328,100,435421.8,804.2001243471677,80.42001243471677,100,0.0,0.0,0.0,100,446094.0,810.0395052094682,81.00395052094682,100,446094.0,810.0395052094682,81.00395052094682,100,0.9760764376371861,0.0005420130152827565,5.4201301528275654e-05,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,NA,NA,NA,0,NA,NA,NA,0,0.023923562362813833,0.0005420130152827627,5.420130152827627e-05,100
1,1.25e-10,0.01,1e-10,0.01,0.8,0.0,0.0,0.0,100,10672.2,244.22170255732803,24.4221702557328,100,0.0,0.0,0.0,100,435421.8,804.2001243471677,80.42001243471677,100,10672.2,244.22170255732803,24.4221702557328,100,435421.8,804.2001243471677,80.42001243471677,100,0.0,0.0,0.0,100,446094.0,810.0395052094682,81.00395052094682,100,446094.0,810.0395052094682,81.00395052094682,100,0.9760764376371861,0.0005420130152827565,5.4201301528275654e-05,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,NA,NA,NA,0,NA,NA,NA,0,0.023923562362813833,0.0005420130152827627,5.420130152827627e-05,100
1,1.25e-10,0.01,1e-10,0.01,0.85,0.0,0.0,0.0,100,10672.2,244.22170255732803,24.4221702557328,100,0.0,0.0,0.0,100,435421.8,804.2001243471677,80.42001243471677,100,10672.2,244.22170255732803,24.4221702557328,100,435421.8,804.2001243471677,80.42001243471677,100,0.0,0.0,0.0,100,446094.0,810.0395052094682,81.00395052094682,100,446094.0,810.0395052094682,81.00395052094682,100,0.9760764376371861,0.0005420130152827565,5.4201301528275654e-05,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,NA,NA,NA,0,NA,NA,NA,0,0.023923562362813833,0.0005420130152827627,5.420130152827627e-05,100
1,1.25e-10,0.01,1e-10,0.01,0.9,0.0,0.0,0.0,100,10672.2,244.22170255732803,24.4221702557328,100,0.0,0.0,0.0,100,435421.8,804.2001243471677,80.42001243471677,100,10672.2,244.22170255732803,24.4221702557328,100,435421.8,804.2001243471677,80.42001243471677,100,0.0,0.0,0.0,100,446094.0,810.0395052094682,81.00395052094682,100,446094.0,810.0395052094682,81.00395052094682,100,0.9760764376371861,0.0005420130152827565,5.4201301528275654e-05,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,NA,NA,NA,0,NA,NA,NA,0,0.023923562362813833,0.0005420130152827627,5.420130152827627e-05,100
1,1.25e-10,0.01,1e-10,0.01,0.95,0.0,0.0,0.0,100,10672.2,244.22170255732803,24.4221702557328,100,0.0,0.0,0.0,100,435421.8,804.2001243471677,80.42001243471677,100,10672.2,244.22170255732803,24.4221702557328,100,435421.8,804.2001243471677,80.42001243471677,100,0.0,0.0,0.0,100,446094.0,810.0395052094682,81.00395052094682,100,446094.0,810.0395052094682,81.00395052094682,100,0.9760764376371861,0.0005420130152827565,5.4201301528275654e-05,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,NA,NA,NA,0,NA,NA,NA,0,0.023923562362813833,0.0005420130152827627,5.420130152827627e-05,100
2,6.25e-10,0.05,1e-10,0.01,0.1,8.91,0.895488693395958,0.0895488693395958,100,50773.14,1170.2302253830226,117.02302253830226,100,235.62,17.735151535862332,1.7735151535862332,100,2180640.33,3217.2193616693285,321.72193616693284,100,50782.05,1170.2067370768293,117.02067370768293,100,2180875.95,3219.0476242982177,321.90476242982174,100,244.53,17.74567834713568,1.774567834713568,100,2231413.47,3019.4430594233763,301.9443059423376,100,2231658.0,3021.131576082048,302.1131576082048,100,0.9771430829500524,0.0005242529790964719,5.242529790964719e-05,100,0.9998919618788856,8.122338418861468e-06,8.122338418861468e-07,100,0.00010803812111439515,8.12233841887754e-06,8.122338418877539e-07,100,0.9998244327468115,1.8182923333641875e-05,1.8182923333641874e-06,100,0.00017556725318857973,1.8182923333643382e-05,1.8182923333643382e-06,100,0.036929268873541324,0.007992711394099924,0.0007992711394099924,100,0.9630707311264591,0.007992711394099922,0.0007992711394099923,100,0.02275383005239033,0.000524743605913065,5.24743605913065e-05,100
2,6.25e-10,0.05,1e-10,0.01,0.15,0.0,0.0,0.0,100,50782.05,1170.2067370768293,117.02067370768293,100,47.52,4.775939698111776,0.4775939698111776,100,2180828.43,3217.9518804823665,321.79518804823664,100,50782.05,1170.2067370768293,117.02067370768293,100,2180875.95,3219.0476242982177,321.90476242982174,100,47.52,4.775939698111776,0.4775939698111776,100,2231610.48,3020.045550914754,302.0045550914754,100,2231658.0,3021.131576082048,302.1131576082048,100,0.9772233774399394,0.0005245651474581974,5.245651474581974e-05,100,0.9999782112885437,2.190076171459945e-06,2.1900761714599448e-07,100,2.178871145641593e-05,2.1900761714583135e-06,2.1900761714583134e-07,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,99,1.0,0.0,0.0,99,0.02275581407285809,0.0005246917267751519,5.2469172677515186e-05,100
